"Id","Name","StageName","Type","Amount","Probability","CloseDate","LeadSource","AccountId","Errors"
"006Ka00000Yv5AkIAJ","Catalyst Group - Existing Customer - Replacement - 00011","Closed Lost","Existing Customer - Replacement","458111.98","0","2026-08-07","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5AlIAJ","Stellar Services - Existing Customer - Replacement - 00012","Proposal/Price Quote","Existing Customer - Replacement","270584.17","76","2025-09-11","External Referral","#N/A","#N/A"
"006Ka00000Yv5AmIAJ","Cobalt Partners - Existing Customer - Downgrade - 00013","Qualification","Existing Customer - Downgrade","73486.07","13","2025-05-30","Purchased List","#N/A","#N/A"
"006Ka00000Yv5AnIAJ","Ember Systems - Existing Customer - Upgrade - 00014","Perception Analysis","Existing Customer - Upgrade","121195.92","55","2026-07-09","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5AoIAJ","Pulse Corp - Existing Customer - Replacement - 00015","Negotiation/Review","Existing Customer - Replacement","17335.3","88","2025-09-09","Other","#N/A","#N/A"
"006Ka00000Yv5ApIAJ","Stratos Partners - Existing Customer - Upgrade - 00016","Closed Lost","Existing Customer - Upgrade","112542.9","0","2025-06-06","Web","#N/A","#N/A"
"006Ka00000Yv5AqIAJ","Flux Networks - Existing Customer - Upgrade - 00017","Closed Won","Existing Customer - Upgrade","35005.49","92","2025-11-28","Web","#N/A","#N/A"
"006Ka00000Yv5ArIAJ","Horizon Industries - New Customer - 00018","Value Proposition","New Customer","110929.94","34","2026-07-26","Web","#N/A","#N/A"
"006Ka00000Yv5AsIAJ","Horizon Logic - Existing Customer - Replacement - 00019","Closed Won","Existing Customer - Replacement","113667.12","100","2026-05-22","Other","#N/A","#N/A"
"006Ka00000Yv5AtIAJ","Nexus Industries - Existing Customer - Replacement - 00020","Closed Lost","Existing Customer - Replacement","37637.3","0","2025-08-03","Purchased List","#N/A","#N/A"
"006Ka00000Yv5AuIAJ","Apex Labs - Existing Customer - Upgrade - 00021","Id. Decision Makers","Existing Customer - Upgrade","81129.25","49","2025-06-02","Trade Show","#N/A","#N/A"
"006Ka00000Yv5AvIAJ","Catalyst Services - Existing Customer - Downgrade - 00022","Closed Won","Existing Customer - Downgrade","225568.82","92","2025-11-24","Purchased List","#N/A","#N/A"
"006Ka00000Yv5AwIAJ","Apex Enterprises - Existing Customer - Replacement - 00023","Prospecting","Existing Customer - Replacement","45584.63","5","2025-04-22","Purchased List","#N/A","#N/A"
"006Ka00000Yv5AxIAJ","Zenith Services - Existing Customer - Replacement - 00024","Proposal/Price Quote","Existing Customer - Replacement","75078.78","64","2025-04-18","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5AyIAJ","Cobalt Works - Existing Customer - Downgrade - 00025","Qualification","Existing Customer - Downgrade","122537.66","16","2026-05-24","Trade Show","#N/A","#N/A"
"006Ka00000Yv5AzIAJ","Vanguard Innovations - Existing Customer - Downgrade - 00026","Closed Lost","Existing Customer - Downgrade","132593.05","0","2025-12-02","Other","#N/A","#N/A"
"006Ka00000Yv5B0IAJ","Flux Networks - Existing Customer - Replacement - 00027","Closed Lost","Existing Customer - Replacement","94802.66","0","2026-05-31","External Referral","#N/A","#N/A"
"006Ka00000Yv5B1IAJ","Titan Global - Existing Customer - Downgrade - 00028","Needs Analysis","Existing Customer - Downgrade","13632.43","21","2025-07-03","Other","#N/A","#N/A"
"006Ka00000Yv5B2IAJ","Ember Global - Existing Customer - Downgrade - 00029","Value Proposition","Existing Customer - Downgrade","45541.12","37","2025-08-05","External Referral","#N/A","#N/A"
"006Ka00000Yv5B3IAJ","Vertex Systems - Existing Customer - Replacement - 00030","Needs Analysis","Existing Customer - Replacement","788185.17","38","2025-12-11","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5B4IAJ","Cipher Systems - New Customer - 00031","Proposal/Price Quote","New Customer","41506.96","78","2026-07-30","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5B5IAJ","Orbit Logic - New Customer - 00032","Prospecting","New Customer","1269.23","3","2025-06-23","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5B6IAJ","Orbit Technologies - Existing Customer - Downgrade - 00033","Qualification","Existing Customer - Downgrade","71799.6","29","2025-03-12","External Referral","#N/A","#N/A"
"006Ka00000Yv5B7IAJ","Catalyst Networks - Existing Customer - Downgrade - 00034","Negotiation/Review","Existing Customer - Downgrade","118868.19","81","2025-05-02","Trade Show","#N/A","#N/A"
"006Ka00000Yv5B8IAJ","Horizon Partners - New Customer - 00035","Proposal/Price Quote","New Customer","25764.06","63","2026-04-19","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5B9IAJ","Pinnacle Systems - Existing Customer - Replacement - 00036","Closed Won","Existing Customer - Replacement","10786","100","2025-06-13","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5BAIAZ","Helix Labs - Existing Customer - Downgrade - 00037","Perception Analysis","Existing Customer - Downgrade","15175.6","59","2026-03-19","External Referral","#N/A","#N/A"
"006Ka00000Yv5BBIAZ","Vanguard Works - New Customer - 00038","Id. Decision Makers","New Customer","144516.87","53","2026-07-27","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BCIAZ","Onyx Group - Existing Customer - Replacement - 00039","Perception Analysis","Existing Customer - Replacement","12459.11","53","2026-07-09","External Referral","#N/A","#N/A"
"006Ka00000Yv5BDIAZ","Vertex Dynamics - Existing Customer - Replacement - 00040","Qualification","Existing Customer - Replacement","53502.09","12","2025-04-24","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BEIAZ","Pinnacle Digital - New Customer - 00041","Prospecting","New Customer","35793.48","5","2025-11-21","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BFIAZ","Pulse Corp - New Customer - 00042","Qualification","New Customer","125722.27","11","2025-09-09","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BGIAZ","Nexus Logic - Existing Customer - Replacement - 00043","Id. Decision Makers","Existing Customer - Replacement","69522.93","47","2026-06-10","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BHIAZ","Cobalt Industries - Existing Customer - Upgrade - 00044","Closed Lost","Existing Customer - Upgrade","3855.64","0","2025-11-27","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BIIAZ","Pulse Dynamics - Existing Customer - Downgrade - 00045","Prospecting","Existing Customer - Downgrade","43571.01","16","2026-03-11","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BJIAZ","Horizon Services - Existing Customer - Upgrade - 00046","Qualification","Existing Customer - Upgrade","82217.96","20","2025-04-03","Web","#N/A","#N/A"
"006Ka00000Yv5BKIAZ","Flux Logic - Existing Customer - Upgrade - 00047","Qualification","Existing Customer - Upgrade","54552","19","2026-06-24","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BLIAZ","Summit Corp - Existing Customer - Upgrade - 00048","Prospecting","Existing Customer - Upgrade","121312.31","0","2026-07-16","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5BMIAZ","Apex Industries - Existing Customer - Upgrade - 00049","Id. Decision Makers","Existing Customer - Upgrade","4202.73","42","2026-04-12","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BNIAZ","Atlas Technologies - Existing Customer - Downgrade - 00050","Closed Won","Existing Customer - Downgrade","766513.56","100","2025-12-29","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BOIAZ","Zenith Labs - Existing Customer - Downgrade - 00051","Perception Analysis","Existing Customer - Downgrade","127419.69","56","2026-05-13","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BPIAZ","Stellar Works - Existing Customer - Downgrade - 00052","Qualification","Existing Customer - Downgrade","6185.49","24","2026-02-25","External Referral","#N/A","#N/A"
"006Ka00000Yv5BQIAZ","Stratos Works - Existing Customer - Replacement - 00053","Prospecting","Existing Customer - Replacement","44681.02","3","2026-02-17","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BRIAZ","Summit Digital - Existing Customer - Downgrade - 00054","Needs Analysis","Existing Customer - Downgrade","407421.28","36","2026-03-10","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BSIAZ","Ember Networks - Existing Customer - Upgrade - 00055","Closed Won","Existing Customer - Upgrade","76849.54","93","2026-07-14","Other","#N/A","#N/A"
"006Ka00000Yv5BTIAZ","Apex Ventures - Existing Customer - Downgrade - 00056","Qualification","Existing Customer - Downgrade","49174","17","2025-04-24","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BUIAZ","Vertex Solutions - Existing Customer - Upgrade - 00057","Needs Analysis","Existing Customer - Upgrade","34424.87","24","2025-07-08","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5BVIAZ","Flux Services - Existing Customer - Replacement - 00058","Needs Analysis","Existing Customer - Replacement","557962.88","37","2025-12-05","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BWIAZ","Cobalt Partners - New Customer - 00059","Closed Won","New Customer","238540.02","100","2026-06-18","Web","#N/A","#N/A"
"006Ka00000Yv5BXIAZ","Forge Analytics - New Customer - 00060","Closed Won","New Customer","50922.29","100","2026-03-12","Web","#N/A","#N/A"
"006Ka00000Yv5BYIAZ","Horizon Global - Existing Customer - Downgrade - 00061","Closed Won","Existing Customer - Downgrade","16341.64","99","2025-07-26","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BZIAZ","Titan Technologies - New Customer - 00062","Id. Decision Makers","New Customer","185264.2","43","2025-12-25","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BaIAJ","Quantum Logic - Existing Customer - Downgrade - 00063","Needs Analysis","Existing Customer - Downgrade","71193.15","36","2026-08-31","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BbIAJ","Atlas Labs - Existing Customer - Downgrade - 00064","Qualification","Existing Customer - Downgrade","341965.09","19","2026-03-12","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BcIAJ","Stellar Dynamics - New Customer - 00065","Closed Won","New Customer","28672.11","91","2025-08-22","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BdIAJ","Orbit Capital - Existing Customer - Upgrade - 00066","Closed Won","Existing Customer - Upgrade","267170.21","100","2026-01-12","Web","#N/A","#N/A"
"006Ka00000Yv5BeIAJ","Vector Technologies - Existing Customer - Replacement - 00067","Prospecting","Existing Customer - Replacement","105296.92","12","2025-10-03","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5BfIAJ","Cipher Global - Existing Customer - Downgrade - 00068","Proposal/Price Quote","Existing Customer - Downgrade","39147.55","61","2026-01-09","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BgIAJ","Vanguard Partners - Existing Customer - Upgrade - 00069","Value Proposition","Existing Customer - Upgrade","14960.94","37","2026-01-20","Other","#N/A","#N/A"
"006Ka00000Yv5BhIAJ","Meridian Group - New Customer - 00070","Negotiation/Review","New Customer","286798.86","87","2025-11-26","Web","#N/A","#N/A"
"006Ka00000Yv5BiIAJ","Titan Works - Existing Customer - Downgrade - 00071","Value Proposition","Existing Customer - Downgrade","1019349.33","37","2025-11-27","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BjIAJ","Zenith Solutions - New Customer - 00072","Prospecting","New Customer","10294.75","11","2025-11-03","External Referral","#N/A","#N/A"
"006Ka00000Yv5BkIAJ","Prism Global - Existing Customer - Upgrade - 00073","Closed Lost","Existing Customer - Upgrade","14457.05","0","2025-07-28","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BlIAJ","Quantum Solutions - Existing Customer - Replacement - 00074","Needs Analysis","Existing Customer - Replacement","141566.01","37","2025-06-15","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BmIAJ","Vanguard Ventures - New Customer - 00075","Qualification","New Customer","230284.3","18","2026-06-06","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BnIAJ","Quantum Global - Existing Customer - Downgrade - 00076","Proposal/Price Quote","Existing Customer - Downgrade","80611.14","76","2026-07-21","Other","#N/A","#N/A"
"006Ka00000Yv5BoIAJ","Vector Capital - Existing Customer - Upgrade - 00077","Qualification","Existing Customer - Upgrade","82395.09","12","2026-08-14","External Referral","#N/A","#N/A"
"006Ka00000Yv5BpIAJ","Pinnacle Ventures - Existing Customer - Downgrade - 00078","Needs Analysis","Existing Customer - Downgrade","71230.55","31","2025-07-08","Web","#N/A","#N/A"
"006Ka00000Yv5BqIAJ","Flux Enterprises - Existing Customer - Upgrade - 00079","Prospecting","Existing Customer - Upgrade","22746.04","16","2025-07-31","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5BrIAJ","Catalyst Innovations - Existing Customer - Replacement - 00080","Id. Decision Makers","Existing Customer - Replacement","48713.66","57","2026-02-27","Other","#N/A","#N/A"
"006Ka00000Yv5BsIAJ","Stratos Logic - Existing Customer - Replacement - 00081","Id. Decision Makers","Existing Customer - Replacement","41682.83","55","2026-08-05","External Referral","#N/A","#N/A"
"006Ka00000Yv5BtIAJ","Prism Systems - Existing Customer - Upgrade - 00082","Negotiation/Review","Existing Customer - Upgrade","5254.53","75","2026-04-30","Trade Show","#N/A","#N/A"
"006Ka00000Yv5BuIAJ","Vertex Networks - New Customer - 00083","Id. Decision Makers","New Customer","197124.67","42","2025-07-11","External Referral","#N/A","#N/A"
"006Ka00000Yv5BvIAJ","Ember Digital - New Customer - 00084","Closed Lost","New Customer","141081.05","3","2025-03-26","Purchased List","#N/A","#N/A"
"006Ka00000Yv5BwIAJ","Cipher Global - New Customer - 00085","Proposal/Price Quote","New Customer","109336.75","76","2026-06-04","Other","#N/A","#N/A"
"006Ka00000Yv5BxIAJ","Stellar Group - Existing Customer - Downgrade - 00086","Proposal/Price Quote","Existing Customer - Downgrade","38355","64","2026-02-18","Web","#N/A","#N/A"
"006Ka00000Yv5ByIAJ","Vector Services - Existing Customer - Replacement - 00087","Prospecting","Existing Customer - Replacement","28435.35","3","2025-06-16","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5BzIAJ","Helix Enterprises - Existing Customer - Replacement - 00088","Qualification","Existing Customer - Replacement","73917.7","11","2026-02-03","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5C0IAJ","Cascade Partners - Existing Customer - Downgrade - 00089","Prospecting","Existing Customer - Downgrade","26610.69","4","2025-07-08","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5C1IAJ","Nexus Solutions - Existing Customer - Upgrade - 00090","Closed Won","Existing Customer - Upgrade","51834.58","91","2025-07-02","External Referral","#N/A","#N/A"
"006Ka00000Yv5C2IAJ","Nexus Solutions - Existing Customer - Downgrade - 00091","Id. Decision Makers","Existing Customer - Downgrade","47334.97","51","2025-03-26","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5C3IAJ","Stellar Systems - New Customer - 00092","Proposal/Price Quote","New Customer","236492.75","62","2026-04-27","Purchased List","#N/A","#N/A"
"006Ka00000Yv5C4IAJ","Vertex Industries - Existing Customer - Upgrade - 00093","Negotiation/Review","Existing Customer - Upgrade","175503.1","79","2026-05-14","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5C5IAJ","Summit Partners - Existing Customer - Downgrade - 00094","Prospecting","Existing Customer - Downgrade","73016.09","5","2025-05-07","Other","#N/A","#N/A"
"006Ka00000Yv5C6IAJ","Nova Industries - Existing Customer - Downgrade - 00095","Needs Analysis","Existing Customer - Downgrade","122451.56","21","2026-08-11","Trade Show","#N/A","#N/A"
"006Ka00000Yv5C7IAJ","Stellar Corp - New Customer - 00096","Closed Won","New Customer","594070.19","94","2025-12-18","Other","#N/A","#N/A"
"006Ka00000Yv5C8IAJ","Peak Innovations - Existing Customer - Replacement - 00097","Perception Analysis","Existing Customer - Replacement","90066.57","54","2026-01-30","Trade Show","#N/A","#N/A"
"006Ka00000Yv5C9IAJ","Apex Innovations - Existing Customer - Replacement - 00098","Closed Lost","Existing Customer - Replacement","461388.24","3","2025-03-11","Web","#N/A","#N/A"
"006Ka00000Yv5CAIAZ","Ember Global - Existing Customer - Downgrade - 00099","Id. Decision Makers","Existing Customer - Downgrade","72335.28","47","2026-06-05","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CBIAZ","Pinnacle Works - Existing Customer - Replacement - 00100","Closed Won","Existing Customer - Replacement","2852.53","100","2025-03-15","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CCIAZ","Onyx Labs - Existing Customer - Upgrade - 00101","Id. Decision Makers","Existing Customer - Upgrade","264439.16","56","2026-03-08","Web","#N/A","#N/A"
"006Ka00000Yv5CDIAZ","Apex Group - Existing Customer - Downgrade - 00102","Needs Analysis","Existing Customer - Downgrade","7629.66","24","2025-10-07","Trade Show","#N/A","#N/A"
"006Ka00000Yv5CEIAZ","Helix Ventures - Existing Customer - Downgrade - 00103","Closed Won","Existing Customer - Downgrade","292813.54","100","2026-07-25","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5CFIAZ","Nexus Enterprises - Existing Customer - Upgrade - 00104","Proposal/Price Quote","Existing Customer - Upgrade","102179.52","79","2025-07-15","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5CGIAZ","Quantum Technologies - Existing Customer - Replacement - 00105","Closed Won","Existing Customer - Replacement","104599.5","100","2026-06-14","Purchased List","#N/A","#N/A"
"006Ka00000Yv5CHIAZ","Cascade Dynamics - New Customer - 00106","Closed Lost","New Customer","11678.8","8","2026-08-18","Trade Show","#N/A","#N/A"
"006Ka00000Yv5CIIAZ","Cipher Digital - Existing Customer - Replacement - 00107","Needs Analysis","Existing Customer - Replacement","55137.19","38","2026-04-12","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CJIAZ","Stellar Corp - Existing Customer - Upgrade - 00108","Closed Won","Existing Customer - Upgrade","19726.22","100","2025-06-14","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CKIAZ","Cascade Solutions - Existing Customer - Replacement - 00109","Proposal/Price Quote","Existing Customer - Replacement","18605.6","76","2026-02-18","Other","#N/A","#N/A"
"006Ka00000Yv5CLIAZ","Stellar Technologies - Existing Customer - Upgrade - 00110","Perception Analysis","Existing Customer - Upgrade","222383.5","62","2025-06-12","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5CMIAZ","Ember Labs - New Customer - 00111","Qualification","New Customer","5032.74","11","2025-05-12","Web","#N/A","#N/A"
"006Ka00000Yv5CNIAZ","Cascade Technologies - New Customer - 00112","Closed Won","New Customer","74700.52","100","2025-06-19","Other","#N/A","#N/A"
"006Ka00000Yv5COIAZ","Stratos Dynamics - Existing Customer - Downgrade - 00113","Needs Analysis","Existing Customer - Downgrade","12681.42","28","2025-03-17","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CPIAZ","Stratos Dynamics - New Customer - 00114","Closed Won","New Customer","130387.14","100","2025-04-02","Trade Show","#N/A","#N/A"
"006Ka00000Yv5CQIAZ","Vanguard Capital - New Customer - 00115","Proposal/Price Quote","New Customer","166203.95","65","2025-07-14","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5CRIAZ","Ember Labs - Existing Customer - Downgrade - 00116","Id. Decision Makers","Existing Customer - Downgrade","3695.86","46","2025-05-07","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5CSIAZ","Onyx Systems - Existing Customer - Replacement - 00117","Id. Decision Makers","Existing Customer - Replacement","72792.09","52","2025-08-03","Other","#N/A","#N/A"
"006Ka00000Yv5CTIAZ","Quantum Networks - New Customer - 00118","Needs Analysis","New Customer","7872.06","27","2025-05-01","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5CUIAZ","Zenith Networks - Existing Customer - Upgrade - 00119","Closed Lost","Existing Customer - Upgrade","18730.8","1","2026-02-09","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5CVIAZ","Matrix Industries - Existing Customer - Replacement - 00120","Value Proposition","Existing Customer - Replacement","33720.64","44","2025-03-10","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CWIAZ","Prism Dynamics - Existing Customer - Upgrade - 00121","Id. Decision Makers","Existing Customer - Upgrade","42146.04","44","2026-02-09","Purchased List","#N/A","#N/A"
"006Ka00000Yv5CXIAZ","Flux Enterprises - New Customer - 00122","Needs Analysis","New Customer","10391.05","26","2025-07-02","Trade Show","#N/A","#N/A"
"006Ka00000Yv5CYIAZ","Vertex Group - Existing Customer - Replacement - 00123","Needs Analysis","Existing Customer - Replacement","28309.5","25","2026-02-17","Web","#N/A","#N/A"
"006Ka00000Yv5CZIAZ","Onyx Networks - Existing Customer - Upgrade - 00124","Needs Analysis","Existing Customer - Upgrade","90055.98","29","2025-10-08","Other","#N/A","#N/A"
"006Ka00000Yv5CaIAJ","Quantum Works - Existing Customer - Replacement - 00125","Value Proposition","Existing Customer - Replacement","105984.61","50","2026-01-26","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5CbIAJ","Orbit Solutions - New Customer - 00126","Needs Analysis","New Customer","140613.44","25","2025-08-06","Purchased List","#N/A","#N/A"
"006Ka00000Yv5CcIAJ","Summit Capital - Existing Customer - Replacement - 00127","Negotiation/Review","Existing Customer - Replacement","136552.26","86","2025-05-29","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5CdIAJ","Prism Digital - Existing Customer - Upgrade - 00128","Proposal/Price Quote","Existing Customer - Upgrade","214833.99","70","2026-08-10","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CeIAJ","Zenith Technologies - Existing Customer - Replacement - 00129","Id. Decision Makers","Existing Customer - Replacement","55353.74","53","2026-04-21","Trade Show","#N/A","#N/A"
"006Ka00000Yv5CfIAJ","Quantum Solutions - Existing Customer - Upgrade - 00130","Needs Analysis","Existing Customer - Upgrade","172403.6","38","2026-01-14","External Referral","#N/A","#N/A"
"006Ka00000Yv5CgIAJ","Pinnacle Analytics - Existing Customer - Replacement - 00131","Proposal/Price Quote","Existing Customer - Replacement","56399.57","65","2026-08-20","Other","#N/A","#N/A"
"006Ka00000Yv5ChIAJ","Titan Innovations - Existing Customer - Replacement - 00132","Prospecting","Existing Customer - Replacement","41889.77","6","2026-03-18","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CiIAJ","Cipher Dynamics - Existing Customer - Upgrade - 00133","Value Proposition","Existing Customer - Upgrade","10664.91","36","2026-03-09","External Referral","#N/A","#N/A"
"006Ka00000Yv5CjIAJ","Flux Capital - New Customer - 00134","Perception Analysis","New Customer","23202.63","70","2025-12-13","Other","#N/A","#N/A"
"006Ka00000Yv5CkIAJ","Pulse Partners - Existing Customer - Replacement - 00135","Closed Won","Existing Customer - Replacement","108465.69","100","2026-02-24","Web","#N/A","#N/A"
"006Ka00000Yv5ClIAJ","Summit Enterprises - New Customer - 00136","Closed Won","New Customer","6587.54","95","2025-10-07","External Referral","#N/A","#N/A"
"006Ka00000Yv5CmIAJ","Quantum Works - Existing Customer - Downgrade - 00137","Proposal/Price Quote","Existing Customer - Downgrade","34932.08","75","2025-09-15","External Referral","#N/A","#N/A"
"006Ka00000Yv5CnIAJ","Flux Corp - Existing Customer - Upgrade - 00138","Negotiation/Review","Existing Customer - Upgrade","39606.81","82","2026-03-25","External Referral","#N/A","#N/A"
"006Ka00000Yv5CoIAJ","Vector Labs - New Customer - 00139","Qualification","New Customer","28347.8","16","2026-04-24","External Referral","#N/A","#N/A"
"006Ka00000Yv5CpIAJ","Pulse Analytics - New Customer - 00140","Proposal/Price Quote","New Customer","19456.67","61","2025-10-02","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5CqIAJ","Cobalt Global - Existing Customer - Downgrade - 00141","Value Proposition","Existing Customer - Downgrade","75472.72","43","2025-08-29","Phone Inquiry","#N/A","#N/A"
"006Ka00000Yv5CrIAJ","Nova Ventures - Existing Customer - Downgrade - 00142","Qualification","Existing Customer - Downgrade","189256.13","23","2025-10-31","Web","#N/A","#N/A"
"006Ka00000Yv5CsIAJ","Pulse Analytics - New Customer - 00143","Qualification","New Customer","52368.74","13","2026-05-01","Trade Show","#N/A","#N/A"
"006Ka00000Yv5CtIAJ","Horizon Labs - Existing Customer - Downgrade - 00144","Qualification","Existing Customer - Downgrade","113460.24","16","2025-10-04","External Referral","#N/A","#N/A"
"006Ka00000Yv5CuIAJ","Titan Services - Existing Customer - Downgrade - 00145","Closed Won","Existing Customer - Downgrade","1670892.77","100","2025-09-30","Partner Referral","#N/A","#N/A"
"006Ka00000Yv5CvIAJ","Vanguard Ventures - Existing Customer - Upgrade - 00146","Id. Decision Makers","Existing Customer - Upgrade","309886.49","47","2025-11-14","Web","#N/A","#N/A"
"006Ka00000Yv5CwIAJ","Peak Solutions - Existing Customer - Downgrade - 00147","Proposal/Price Quote","Existing Customer - Downgrade","46169.74","74","2026-06-17","External Referral","#N/A","#N/A"
"006Ka00000Yv5CxIAJ","Quantum Enterprises - Existing Customer - Replacement - 00148","Closed Won","Existing Customer - Replacement","170168.6","95","2025-09-02","Employee Referral","#N/A","#N/A"
"006Ka00000Yv5CyIAJ","Pulse Corp - Existing Customer - Downgrade - 00149","Closed Lost","Existing Customer - Downgrade","24923.18","4","2025-06-12","External Referral","#N/A","#N/A"
"006Ka00000Yv5CzIAJ","Matrix Corp - Existing Customer - Upgrade - 00150","Prospecting","Existing Customer - Upgrade","274764.3","18","2025-05-14","Other","#N/A","#N/A"
"006Ka00000Yv5D0IAJ","Forge Industries - New Customer - 00151","Id. Decision Makers","New Customer","112884.46","45","2026-06-11","Trade Show","#N/A","#N/A"
"006Ka00000Yv5D1IAJ","Atlas Ventures - Existing Customer - Downgrade - 00152","Perception Analysis","Existing Customer - Downgrade","114779.29","50","2026-04-17","Web","#N/A","#N/A"
"006Ka00000Yv5D2IAJ","Catalyst Innovations - Existing Customer - Upgrade - 00153","Qualification","Existing Customer - Upgrade","96216.85","12","2026-06-22","Trade Show","#N/A","#N/A"
"006Ka00000Yv5D3IAJ","Forge Services - Existing Customer - Downgrade - 00154","Negotiation/Review","Existing Customer - Downgrade","46008.22","87","2025-08-19","Partner Referral","#N/A","#N/A"
